id,track_id,track_name,artists,popularity,ingest_ts
1,track_000001,Sweet Home Chicago 86,Post Malone,68,2026-01-30T12:31:18.127924
2,track_000002,Let It Be 21,Billie Eilish,29,2026-01-28T12:31:18.128030
3,track_000003,Let It Be 14,Justin Bieber,22,2026-01-05T12:31:18.128050
4,track_000004,Black 95,Beyoncé,92,2026-02-03T12:31:18.128065
5,track_000005,Someone Like You 64,Beyoncé,22,2025-11-26T12:31:18.128083
6,track_000006,The Sound of Silence 70,Taylor Swift,54,2025-10-15T12:31:18.128095
7,track_000007,Uptown Funk 7,Post Malone,53,2025-09-08T12:31:18.128108
8,track_000008,Bohemian Rhapsody 70,Katy Perry,68,2025-09-11T12:31:18.128119
9,track_000009,Stairway to Heaven 23,Rihanna,66,2026-01-07T12:31:18.128131
10,track_000010,Sweet Home Chicago 36,Rihanna,52,2025-09-18T12:31:18.128142
11,track_000011,Hotel California 45,Post Malone,43,2026-02-06T12:31:18.128154
12,track_000012,Stairway to Heaven 27,Ed Sheeran,31,2025-12-20T12:31:18.128165
13,track_000013,The Sound of Silence 35,Eminem,26,2025-12-29T12:31:18.128176
14,track_000014,Stairway to Heaven 7,Ed Sheeran,30,2025-12-27T12:31:18.128187
15,track_000015,The Sound of Silence 27,Lady Gaga,27,2026-02-07T12:31:18.128198
16,track_000016,Someone Like You 15,Ed Sheeran,96,2025-11-01T12:31:18.128209
17,track_000017,Blinding Lights 76,Lady Gaga,96,2025-09-07T12:31:18.128220
18,track_000018,Sweet Home Chicago 34,Eminem,33,2025-11-02T12:31:18.128231
19,track_000019,Uptown Funk 36,Ed Sheeran,42,2025-09-30T12:31:18.128242
20,track_000020,Stairway to Heaven 100,Post Malone,58,2025-12-27T12:31:18.128253
21,track_000021,Hotel California 3,Taylor Swift,23,2026-01-23T12:31:18.128264
22,track_000022,Imagine 41,Ariana Grande,54,2025-09-18T12:31:18.128276
23,track_000023,Sweet Home Chicago 24,Bruno Mars,78,2025-12-30T12:31:18.128287
24,track_000024,The Sound of Silence 26,Beyoncé,35,2026-02-12T12:31:18.128298
25,track_000025,Bohemian Rhapsody 16,Rihanna,60,2025-11-25T12:31:18.128309
26,track_000026,Rolling in the Deep 11,Billie Eilish,49,2025-12-27T12:31:18.128320
27,track_000027,Like a Rolling Stone 47,Post Malone,47,2026-02-11T12:31:18.128331
28,track_000028,Bohemian Rhapsody 18,Taylor Swift,26,2025-10-27T12:31:18.128343
29,track_000029,Hotel California 55,Post Malone,54,2025-11-11T12:31:18.128354
30,track_000030,Black 56,The Weeknd,60,2025-12-19T12:31:18.128368
31,track_000031,Hotel California 11,Katy Perry,41,2025-09-18T12:31:18.128379
32,track_000032,The Sound of Silence 35,Rihanna,71,2025-10-30T12:31:18.128389
33,track_000033,Stairway to Heaven 17,Ed Sheeran,95,2025-09-02T12:31:18.128400
34,track_000034,The Sound of Silence 34,Justin Bieber,68,2026-01-18T12:31:18.128412
35,track_000035,Stairway to Heaven 81,Drake,88,2025-10-01T12:31:18.128423
36,track_000036,Someone Like You 44,Dua Lipa,76,2025-10-08T12:31:18.128434
37,track_000037,Black 8,Ed Sheeran,43,2025-09-18T12:31:18.128445
38,track_000038,Shape of You 85,Justin Bieber,72,2025-12-18T12:31:18.128456
39,track_000039,Sweet Home Chicago 55,Dua Lipa,73,2025-09-03T12:31:18.128466
40,track_000040,Rolling in the Deep 45,Ed Sheeran,22,2025-10-06T12:31:18.128477
41,track_000041,Bohemian Rhapsody 88,Adele,31,2025-09-22T12:31:18.128489
