id,track_id,track_name,artists,popularity,ingest_ts
1,track_000001,Smells Like Teen Spirit 48,Mariah Carey,77,2025-10-31T12:28:34.906328
2,track_000002,Shape of You 88,Lady Gaga,27,2025-09-26T12:28:34.906371
3,track_000003,Smells Like Teen Spirit 47,Billie Eilish,99,2026-02-07T12:28:34.906390
4,track_000004,The Sound of Silence 69,Katy Perry,82,2025-11-26T12:28:34.906404
5,track_000005,Let It Be 65,Billie Eilish,98,2025-11-01T12:28:34.906417
6,track_000006,Smells Like Teen Spirit 93,Ed Sheeran,50,2026-01-26T12:28:34.906429
7,track_000007,Stairway to Heaven 56,Billie Eilish,34,2025-12-14T12:28:34.906440
8,track_000008,All Along the Watchtower 56,Ed Sheeran,67,2025-12-02T12:28:34.906452
9,track_000009,Hotel California 33,Billie Eilish,61,2026-02-05T12:28:34.906463
10,track_000010,Smells Like Teen Spirit 67,Katy Perry,57,2025-10-29T12:28:34.906475
11,track_000011,Black 14,Billie Eilish,72,2026-01-27T12:28:34.906487
12,track_000012,Like a Rolling Stone 68,Drake,32,2025-12-27T12:28:34.906498
13,track_000013,Blinding Lights 31,The Weeknd,71,2025-09-27T12:28:34.906514
14,track_000014,Like a Rolling Stone 40,Drake,47,2025-11-07T12:28:34.906526
15,track_000015,Uptown Funk 67,Rihanna,33,2026-02-02T12:28:34.906537
16,track_000016,Stairway to Heaven 94,Taylor Swift,55,2026-01-13T12:28:34.906548
17,track_000017,Shape of You 72,Post Malone,93,2026-01-27T12:28:34.906559
18,track_000018,Smells Like Teen Spirit 100,Katy Perry,41,2025-10-13T12:28:34.906570
19,track_000019,Black 98,Katy Perry,100,2025-11-22T12:28:34.906581
20,track_000020,Sweet Home Chicago 41,Lady Gaga,53,2025-11-15T12:28:34.906592
21,track_000021,Someone Like You 26,Katy Perry,99,2026-02-03T12:28:34.906603
22,track_000022,The Sound of Silence 56,Mariah Carey,31,2026-01-04T12:28:34.906615
23,track_000023,Black 97,The Weeknd,55,2025-10-07T12:28:34.906626
24,track_000024,Bohemian Rhapsody 36,Billie Eilish,36,2025-12-17T12:28:34.906637
25,track_000025,Uptown Funk 21,Billie Eilish,31,2026-01-27T12:28:34.906648
26,track_000026,Black 69,Katy Perry,45,2025-11-12T12:28:34.906659
27,track_000027,Stairway to Heaven 56,The Weeknd,48,2025-11-01T12:28:34.906670
28,track_000028,Someone Like You 100,Dua Lipa,45,2025-11-12T12:28:34.906681
29,track_000029,Bohemian Rhapsody 8,Ariana Grande,47,2025-09-21T12:28:34.906698
30,track_000030,Smells Like Teen Spirit 11,The Weeknd,55,2025-09-08T12:28:34.906710
31,track_000031,Imagine 53,Ed Sheeran,48,2025-09-26T12:28:34.906721
32,track_000032,Black 28,Billie Eilish,45,2026-02-23T12:28:34.906732
33,track_000033,Black 23,Lady Gaga,32,2025-10-28T12:28:34.906742
34,track_000034,Blinding Lights 55,Beyoncé,77,2025-12-17T12:28:34.906753
35,track_000035,Black 2,Post Malone,74,2026-02-05T12:28:34.906769
36,track_000036,Black 14,Rihanna,34,2026-02-03T12:28:34.906780
37,track_000037,Sweet Home Chicago 90,Rihanna,90,2026-02-02T12:28:34.906791
38,track_000038,Blinding Lights 2,Mariah Carey,85,2025-12-18T12:28:34.906802
39,track_000039,Someone Like You 40,Eminem,75,2025-11-02T12:28:34.906816
40,track_000040,Bohemian Rhapsody 18,Bruno Mars,95,2026-01-04T12:28:34.906827
41,track_000041,Smells Like Teen Spirit 11,Dua Lipa,23,2026-01-02T12:28:34.906839
42,track_000042,Smells Like Teen Spirit 19,Adele,87,2026-01-09T12:28:34.906850
43,track_000043,Let It Be 93,Adele,80,2025-10-03T12:28:34.906861
44,track_000044,All Along the Watchtower 53,Ariana Grande,70,2025-11-16T12:28:34.906872
45,track_000045,Let It Be 14,Ariana Grande,59,2025-11-14T12:28:34.906883
46,track_000046,Imagine 74,Lady Gaga,97,2026-02-09T12:28:34.906894
47,track_000047,Imagine 30,Rihanna,65,2025-10-26T12:28:34.906904
48,track_000048,Blinding Lights 16,Ed Sheeran,30,2026-01-24T12:28:34.906915
49,track_000049,Stairway to Heaven 68,Taylor Swift,92,2026-02-23T12:28:34.906926
50,track_000050,Stairway to Heaven 23,The Weeknd,51,2025-12-24T12:28:34.906937
51,track_000051,Shape of You 23,Dua Lipa,52,2025-11-21T12:28:34.906948
52,track_000052,The Sound of Silence 33,Eminem,36,2025-11-25T12:28:34.906959
53,track_000053,All Along the Watchtower 98,Taylor Swift,88,2025-11-04T12:28:34.906970
54,track_000054,The Sound of Silence 14,Justin Bieber,20,2026-01-10T12:28:34.906981
55,track_000055,Like a Rolling Stone 100,Drake,84,2025-10-20T12:28:34.906992
56,track_000056,Sweet Home Chicago 49,Mariah Carey,65,2025-10-07T12:28:34.907003
57,track_000057,Stairway to Heaven 55,Lady Gaga,48,2025-09-10T12:28:34.907014
58,track_000058,Black 53,Beyoncé,92,2025-12-09T12:28:34.907025
59,track_000059,Sweet Home Chicago 86,Taylor Swift,61,2025-12-12T12:28:34.907036
60,track_000060,The Sound of Silence 43,Ed Sheeran,57,2025-09-26T12:28:34.907047
61,track_000061,Someone Like You 78,Eminem,100,2026-01-05T12:28:34.907058
62,track_000062,Someone Like You 63,Lady Gaga,79,2025-10-23T12:28:34.907069
63,track_000063,Someone Like You 94,Post Malone,65,2025-10-04T12:28:34.907080
64,track_000064,Uptown Funk 18,Lady Gaga,88,2025-12-16T12:28:34.907091
65,track_000065,Let It Be 82,Taylor Swift,86,2025-12-27T12:28:34.907102
66,track_000066,Someone Like You 26,Mariah Carey,85,2025-10-29T12:28:34.907113
67,track_000067,Hotel California 68,Ariana Grande,44,2025-09-04T12:28:34.907124
68,track_000068,Sweet Home Chicago 51,Beyoncé,73,2025-12-01T12:28:34.907135
69,track_000069,Imagine 70,Eminem,72,2025-10-02T12:28:34.907146
70,track_000070,Like a Rolling Stone 77,Justin Bieber,23,2025-09-17T12:28:34.907157
71,track_000071,Stairway to Heaven 51,Drake,97,2025-12-20T12:28:34.907168
72,track_000072,Uptown Funk 20,Adele,23,2026-01-27T12:28:34.907179
73,track_000073,Blinding Lights 96,The Weeknd,21,2025-09-21T12:28:34.907190
74,track_000074,Let It Be 54,Ed Sheeran,38,2025-10-14T12:28:34.907201
75,track_000075,The Sound of Silence 50,The Weeknd,94,2026-02-19T12:28:34.907212
76,track_000076,Rolling in the Deep 5,Post Malone,26,2026-01-15T12:28:34.907223
77,track_000077,Imagine 89,Eminem,93,2026-02-18T12:28:34.907236
78,track_000078,Imagine 75,Drake,81,2025-10-29T12:28:34.907247
79,track_000079,Shape of You 35,Post Malone,72,2025-12-26T12:28:34.907257
80,track_000080,Uptown Funk 62,The Weeknd,91,2026-01-24T12:28:34.907268
81,track_000081,Rolling in the Deep 32,Dua Lipa,88,2026-02-14T12:28:34.907279
82,track_000082,Blinding Lights 56,Eminem,44,2026-02-17T12:28:34.907290
83,track_000083,Rolling in the Deep 60,Mariah Carey,40,2026-02-09T12:28:34.907301
84,track_000084,The Sound of Silence 58,Beyoncé,43,2026-01-24T12:28:34.907312
85,track_000085,Uptown Funk 1,Eminem,97,2025-10-19T12:28:34.907323
86,track_000086,Imagine 86,Justin Bieber,40,2025-09-15T12:28:34.907334
87,track_000087,Stairway to Heaven 45,The Weeknd,28,2025-12-27T12:28:34.907345
88,track_000088,Imagine 10,Beyoncé,29,2025-11-04T12:28:34.907355
89,track_000089,Someone Like You 69,The Weeknd,27,2025-10-29T12:28:34.907366
90,track_000090,Smells Like Teen Spirit 6,Ed Sheeran,92,2026-02-08T12:28:34.907377
91,track_000091,Let It Be 7,Lady Gaga,58,2026-01-13T12:28:34.907389
92,track_000092,Smells Like Teen Spirit 70,Dua Lipa,76,2025-10-08T12:28:34.907399
93,track_000093,Shape of You 72,Dua Lipa,64,2025-11-02T12:28:34.907411
94,track_000094,Sweet Home Chicago 25,Ariana Grande,69,2025-12-18T12:28:34.907421
95,track_000095,Like a Rolling Stone 85,Billie Eilish,83,2026-01-31T12:28:34.907432
96,track_000096,Imagine 7,Justin Bieber,33,2025-09-23T12:28:34.907443
97,track_000097,Imagine 39,Ed Sheeran,28,2025-10-14T12:28:34.907454
98,track_000098,Black 92,Ed Sheeran,47,2026-02-24T12:28:34.907464
99,track_000099,Sweet Home Chicago 47,The Weeknd,88,2026-02-18T12:28:34.907475
100,track_000100,Imagine 33,Adele,50,2026-01-19T12:28:34.907486
101,track_000101,Sweet Home Chicago 90,Eminem,34,2025-11-27T12:28:34.907498
102,track_000102,Blinding Lights 52,Drake,76,2025-11-18T12:28:34.907508
103,track_000103,Uptown Funk 7,Justin Bieber,21,2025-09-14T12:28:34.907519
104,track_000104,All Along the Watchtower 56,Justin Bieber,37,2025-11-24T12:28:34.907530
105,track_000105,Bohemian Rhapsody 43,Ed Sheeran,26,2025-12-26T12:28:34.907542
106,track_000106,Sweet Home Chicago 2,Rihanna,97,2026-01-20T12:28:34.907553
107,track_000107,The Sound of Silence 57,Drake,49,2025-10-07T12:28:34.907564
108,track_000108,Blinding Lights 55,Katy Perry,79,2025-09-25T12:28:34.907663
109,track_000109,Bohemian Rhapsody 52,Ed Sheeran,86,2025-12-04T12:28:34.907682
110,track_000110,Stairway to Heaven 26,Dua Lipa,21,2026-01-02T12:28:34.907695
111,track_000111,Let It Be 44,Mariah Carey,42,2025-11-05T12:28:34.907706
112,track_000112,Sweet Home Chicago 46,The Weeknd,61,2025-10-11T12:28:34.907717
113,track_000113,Blinding Lights 50,Post Malone,70,2025-09-14T12:28:34.907729
114,track_000114,Blinding Lights 26,Billie Eilish,47,2026-02-11T12:28:34.907740
115,track_000115,Stairway to Heaven 34,Lady Gaga,43,2026-02-08T12:28:34.907752
116,track_000116,Sweet Home Chicago 90,Justin Bieber,66,2025-11-23T12:28:34.907763
117,track_000117,Uptown Funk 86,Dua Lipa,65,2025-09-19T12:28:34.907774
118,track_000118,Someone Like You 67,Billie Eilish,30,2025-09-22T12:28:34.907789
119,track_000119,Sweet Home Chicago 8,Lady Gaga,71,2025-12-28T12:28:34.907800
120,track_000120,Hotel California 28,Justin Bieber,77,2025-09-20T12:28:34.907811
121,track_000121,The Sound of Silence 41,Bruno Mars,21,2025-10-05T12:28:34.907823
122,track_000122,Sweet Home Chicago 76,Drake,89,2026-02-02T12:28:34.907834
123,track_000123,Smells Like Teen Spirit 63,Justin Bieber,37,2025-12-15T12:28:34.907845
124,track_000124,Smells Like Teen Spirit 46,Ed Sheeran,54,2025-10-22T12:28:34.907857
125,track_000125,Blinding Lights 53,Eminem,48,2025-11-02T12:28:34.907871
126,track_000126,Uptown Funk 47,Katy Perry,38,2025-09-08T12:28:34.907882
127,track_000127,Uptown Funk 7,Ariana Grande,93,2026-01-15T12:28:34.907893
128,track_000128,Imagine 74,Ed Sheeran,94,2025-12-05T12:28:34.907904
129,track_000129,The Sound of Silence 4,Justin Bieber,80,2025-12-16T12:28:34.907915
130,track_000130,Hotel California 46,Post Malone,71,2026-02-14T12:28:34.907926
131,track_000131,Like a Rolling Stone 94,The Weeknd,28,2025-12-22T12:28:34.907937
132,track_000132,Imagine 9,Post Malone,27,2025-10-03T12:28:34.907948
133,track_000133,Rolling in the Deep 30,Bruno Mars,86,2025-10-22T12:28:34.907959
134,track_000134,The Sound of Silence 79,Katy Perry,67,2025-11-18T12:28:34.907970
135,track_000135,Sweet Home Chicago 71,Ariana Grande,58,2026-01-30T12:28:34.907981
136,track_000136,Blinding Lights 83,Drake,54,2025-12-12T12:28:34.907992
137,track_000137,Imagine 2,Adele,89,2025-12-23T12:28:34.908003
138,track_000138,Smells Like Teen Spirit 44,Adele,37,2026-01-18T12:28:34.908014
139,track_000139,Let It Be 14,Katy Perry,83,2025-10-20T12:28:34.908025
140,track_000140,Let It Be 25,Ed Sheeran,91,2025-09-05T12:28:34.908036
141,track_000141,Uptown Funk 28,Bruno Mars,47,2025-09-10T12:28:34.908047
142,track_000142,Sweet Home Chicago 43,Mariah Carey,25,2025-10-27T12:28:34.908058
143,track_000143,The Sound of Silence 46,Eminem,93,2025-09-30T12:28:34.908069
144,track_000144,Smells Like Teen Spirit 73,Justin Bieber,67,2025-12-06T12:28:34.908079
145,track_000145,Uptown Funk 90,Adele,37,2025-09-03T12:28:34.908090
146,track_000146,Sweet Home Chicago 1,Dua Lipa,25,2026-01-15T12:28:34.908101
147,track_000147,Let It Be 31,Lady Gaga,70,2025-11-30T12:28:34.908112
148,track_000148,Rolling in the Deep 58,Post Malone,88,2026-02-06T12:28:34.908123
149,track_000149,Black 14,Lady Gaga,75,2026-01-19T12:28:34.908134
150,track_000150,Rolling in the Deep 100,Adele,51,2025-12-26T12:28:34.908145
151,track_000151,Shape of You 13,Lady Gaga,61,2025-10-14T12:28:34.908156
152,track_000152,The Sound of Silence 89,Katy Perry,55,2025-10-28T12:28:34.908167
153,track_000153,Black 37,Justin Bieber,23,2025-11-07T12:28:34.908178
154,track_000154,Smells Like Teen Spirit 39,Drake,90,2025-10-12T12:28:34.908188
155,track_000155,Let It Be 20,Billie Eilish,45,2025-12-11T12:28:34.908203
156,track_000156,Sweet Home Chicago 76,Adele,23,2026-01-26T12:28:34.908215
157,track_000157,Black 13,Dua Lipa,46,2026-02-26T12:28:34.908225
158,track_000158,Sweet Home Chicago 9,Rihanna,25,2025-10-23T12:28:34.908237
159,track_000159,Black 6,Adele,53,2025-11-17T12:28:34.908248
160,track_000160,Let It Be 48,The Weeknd,78,2025-11-02T12:28:34.908259
161,track_000161,All Along the Watchtower 52,Lady Gaga,95,2025-12-18T12:28:34.908294
162,track_000162,Blinding Lights 32,Adele,99,2026-01-19T12:28:34.908306
163,track_000163,Hotel California 84,Drake,41,2026-02-21T12:28:34.908317
164,track_000164,Let It Be 48,Eminem,99,2026-02-14T12:28:34.908328
165,track_000165,Rolling in the Deep 83,Katy Perry,27,2025-10-16T12:28:34.908338
166,track_000166,Hotel California 47,Drake,24,2025-10-18T12:28:34.908349
167,track_000167,Stairway to Heaven 94,Justin Bieber,31,2025-10-27T12:28:34.908360
168,track_000168,The Sound of Silence 23,Katy Perry,62,2026-01-05T12:28:34.908371
169,track_000169,The Sound of Silence 76,Ariana Grande,33,2026-01-26T12:28:34.908382
170,track_000170,Like a Rolling Stone 98,Rihanna,20,2025-09-25T12:28:34.908393
171,track_000171,Imagine 80,The Weeknd,72,2025-10-20T12:28:34.908404
172,track_000172,Shape of You 87,Justin Bieber,78,2025-10-08T12:28:34.908415
173,track_000173,Imagine 35,Mariah Carey,44,2025-10-30T12:28:34.908427
174,track_000174,Shape of You 42,Adele,99,2026-02-27T12:28:34.908438
175,track_000175,Let It Be 9,Billie Eilish,29,2025-10-05T12:28:34.908449
176,track_000176,Uptown Funk 78,Billie Eilish,70,2025-10-18T12:28:34.908460
177,track_000177,Hotel California 29,Post Malone,88,2025-12-03T12:28:34.908471
178,track_000178,Hotel California 21,Lady Gaga,34,2025-11-01T12:28:34.908482
179,track_000179,The Sound of Silence 97,Eminem,73,2025-11-06T12:28:34.908493
180,track_000180,Shape of You 4,Mariah Carey,37,2025-09-04T12:28:34.908504
181,track_000181,Blinding Lights 26,Taylor Swift,24,2026-01-04T12:28:34.908515
182,track_000182,The Sound of Silence 25,Bruno Mars,94,2025-12-16T12:28:34.908527
183,track_000183,Sweet Home Chicago 98,Justin Bieber,59,2025-10-28T12:28:34.908538
184,track_000184,Stairway to Heaven 90,Rihanna,20,2025-12-28T12:28:34.908549
185,track_000185,Stairway to Heaven 6,Beyoncé,68,2026-02-05T12:28:34.908561
186,track_000186,The Sound of Silence 52,Beyoncé,25,2025-11-05T12:28:34.908572
187,track_000187,The Sound of Silence 62,Katy Perry,96,2025-10-22T12:28:34.908584
188,track_000188,Shape of You 25,Adele,87,2025-11-05T12:28:34.908595
